2026-06-10 11:43:53  INFO      Logging to experiments\live_20260610_144353.log
2026-06-10 11:43:53  INFO      Loaded encoder + predictor from ./experiments/checkpoints/best_model.pt (epoch 180)
2026-06-10 11:43:53  INFO      Loaded execution heads from ./experiments/heads_gold  Dir AUC=0.543  Vol AUC=0.641
2026-06-10 11:43:53  INFO      Config D: loaded M15 encoder (epoch 172)
2026-06-10 11:43:53  INFO      Connected to MT5: MetaTrader 5 build 5836
2026-06-10 11:43:53  INFO      Config D M15 execution layer enabled  S_t gate=0.000012
2026-06-10 11:43:53  INFO      Warming up: fetching 548 bars for XAUUSD ...
2026-06-10 11:44:00  INFO      Warm-up complete. Surprise buffer: 250 bars.
2026-06-10 11:44:00  INFO      M15 warm-up: fetching 596 M15 bars...
2026-06-10 11:44:03  INFO      M15 warm-up complete. Surprise buffer: 250 bars.
2026-06-10 11:44:03  INFO      Live trader started. symbol=XAUUSD  dry_run=True  poll=10s  m15=enabled
2026-06-10 12:00:04  INFO      S_t check: S_t=0.408475  p20=0.000500  p60=0.003000  p90=0.010000  zone=Q5-CB  buffer_len=251
2026-06-10 12:00:04  INFO      Post-shock cooldown: 0/8 bars elapsed — skipping entry
2026-06-10 12:00:04  INFO      Bar close: dir_prob=0.500  S_t=0.40848  signal=0.000  eff=0.000  lots=0.00  action=hold
2026-06-10 13:00:06  INFO      S_t check: S_t=0.001909  p20=0.000500  p60=0.003000  p90=0.010000  zone=Q2-skip  buffer_len=252
2026-06-10 13:00:06  INFO      Post-shock cooldown: 1/8 bars elapsed — skipping entry
2026-06-10 13:00:06  INFO      Bar close: dir_prob=0.476  S_t=0.00191  signal=0.000  eff=0.000  lots=0.00  action=hold
2026-06-10 14:00:07  INFO      S_t check: S_t=0.014756  p20=0.000500  p60=0.003000  p90=0.010000  zone=Q5-CB  buffer_len=253
2026-06-10 14:00:07  INFO      Post-shock cooldown: 1/8 bars elapsed — skipping entry
2026-06-10 14:00:07  INFO      Bar close: dir_prob=0.603  S_t=0.01476  signal=1.000  eff=0.000  lots=0.00  action=hold
2026-06-10 15:00:09  INFO      S_t check: S_t=0.018086  p20=0.000500  p60=0.003000  p90=0.010000  zone=Q5-CB  buffer_len=254
2026-06-10 15:00:09  INFO      Post-shock cooldown: 1/8 bars elapsed — skipping entry
2026-06-10 15:00:09  INFO      Bar close: dir_prob=0.641  S_t=0.01809  signal=1.000  eff=0.000  lots=0.00  action=hold
2026-06-10 16:00:08  INFO      S_t check: S_t=0.005208  p20=0.000500  p60=0.003000  p90=0.010000  zone=Q4-half  buffer_len=255
2026-06-10 16:00:08  INFO      Post-shock cooldown: 2/8 bars elapsed — skipping entry
2026-06-10 16:00:08  INFO      Bar close: dir_prob=0.612  S_t=0.00521  signal=1.000  eff=0.000  lots=0.00  action=hold
2026-06-10 17:00:09  INFO      S_t check: S_t=0.000168  p20=0.000500  p60=0.003000  p90=0.010000  zone=Q1  buffer_len=256
2026-06-10 17:00:09  INFO      Post-shock cooldown: 3/8 bars elapsed — skipping entry
2026-06-10 17:00:09  INFO      Bar close: dir_prob=0.577  S_t=0.00017  signal=1.000  eff=0.000  lots=0.00  action=hold
2026-06-10 18:00:11  INFO      S_t check: S_t=0.000085  p20=0.000500  p60=0.003000  p90=0.010000  zone=Q1  buffer_len=257
2026-06-10 18:00:11  INFO      Post-shock cooldown: 4/8 bars elapsed — skipping entry
2026-06-10 18:00:11  INFO      Bar close: dir_prob=0.577  S_t=0.00009  signal=1.000  eff=0.000  lots=0.00  action=hold
2026-06-10 19:00:02  INFO      S_t check: S_t=0.000122  p20=0.000500  p60=0.003000  p90=0.010000  zone=Q1  buffer_len=258
2026-06-10 19:00:02  INFO      Post-shock cooldown: 5/8 bars elapsed — skipping entry
2026-06-10 19:00:02  INFO      Bar close: dir_prob=0.578  S_t=0.00012  signal=1.000  eff=0.000  lots=0.00  action=hold
2026-06-10 20:00:04  INFO      S_t check: S_t=0.036191  p20=0.000500  p60=0.003000  p90=0.010000  zone=Q5-CB  buffer_len=259
2026-06-10 20:00:04  INFO      Post-shock cooldown: 5/8 bars elapsed — skipping entry
2026-06-10 20:00:04  INFO      Bar close: dir_prob=0.620  S_t=0.03619  signal=1.000  eff=0.000  lots=0.00  action=hold
2026-06-10 21:00:05  INFO      S_t check: S_t=0.074461  p20=0.000500  p60=0.003000  p90=0.010000  zone=Q5-CB  buffer_len=260
2026-06-10 21:00:05  INFO      Post-shock cooldown: 5/8 bars elapsed — skipping entry
2026-06-10 21:00:05  INFO      Bar close: dir_prob=0.683  S_t=0.07446  signal=1.000  eff=0.000  lots=0.00  action=hold
2026-06-10 22:00:07  INFO      S_t check: S_t=0.076634  p20=0.000500  p60=0.003000  p90=0.010000  zone=Q5-CB  buffer_len=261
