[gold] building long history 2008-07-01 -> 2026-07-01
  (1/2) H1 price from Dukascopy ...
    gold 2008-07-01 -> 2008-09-29: 1649 bars
    gold 2008-09-29 -> 2008-12-28: 1649 bars
    gold 2008-12-28 -> 2009-03-28: 1664 bars
    gold 2009-03-28 -> 2009-06-26: 1652 bars
    gold 2009-06-26 -> 2009-09-24: 1653 bars
    gold 2009-09-24 -> 2009-12-23: 1641 bars
    gold 2009-12-23 -> 2010-03-23: 1638 bars
    gold 2010-03-23 -> 2010-06-21: 1654 bars
    gold 2010-06-21 -> 2010-09-19: 1661 bars
    gold 2010-09-19 -> 2010-12-18: 1654 bars
    gold 2010-12-18 -> 2011-03-18: 1642 bars
    gold 2011-03-18 -> 2011-06-16: 1681 bars
    gold 2011-06-16 -> 2011-09-14: 1672 bars
    gold 2011-09-14 -> 2011-12-13: 1635 bars
    gold 2011-12-13 -> 2012-03-12: 1557 bars
    gold 2012-03-12 -> 2012-06-10: 1636 bars
    gold 2012-06-10 -> 2012-09-08: 1648 bars
    gold 2012-09-08 -> 2012-12-07: 1623 bars
    gold 2012-12-07 -> 2013-03-07: 1508 bars
    gold 2013-03-07 -> 2013-06-05: 1487 bars
    gold 2013-06-05 -> 2013-09-03: 1495 bars
    gold 2013-09-03 -> 2013-12-02: 1497 bars
    gold 2013-12-02 -> 2014-03-02: 1480 bars
    gold 2014-03-02 -> 2014-05-31: 1498 bars
    gold 2014-05-31 -> 2014-08-29: 1511 bars
    gold 2014-08-29 -> 2014-11-27: 1501 bars
    gold 2014-11-27 -> 2015-02-25: 1447 bars
    gold 2015-02-25 -> 2015-05-26: 1483 bars
    gold 2015-05-26 -> 2015-08-24: 1494 bars
    gold 2015-08-24 -> 2015-11-22: 1489 bars
    gold 2015-11-22 -> 2016-02-20: 1434 bars
    gold 2016-02-20 -> 2016-05-20: 1453 bars
    gold 2016-05-20 -> 2016-08-18: 1467 bars
    gold 2016-08-18 -> 2016-11-16: 1471 bars
    gold 2016-11-16 -> 2017-02-14: 1442 bars
    gold 2017-02-14 -> 2017-05-15: 1459 bars
    gold 2017-05-15 -> 2017-08-13: 1484 bars
    gold 2017-08-13 -> 2017-11-11: 1489 bars
    gold 2017-11-11 -> 2018-02-09: 1421 bars
    gold 2018-02-09 -> 2018-05-10: 1448 bars
    gold 2018-05-10 -> 2018-08-08: 1465 bars
    gold 2018-08-08 -> 2018-11-06: 1468 bars
    gold 2018-11-06 -> 2019-02-04: 1413 bars
    gold 2019-02-04 -> 2019-05-05: 1463 bars
    gold 2019-05-05 -> 2019-08-03: 1490 bars
    gold 2019-08-03 -> 2019-11-01: 1476 bars
    gold 2019-11-01 -> 2020-01-30: 1414 bars
    gold 2020-01-30 -> 2020-04-29: 1447 bars
    gold 2020-04-29 -> 2020-07-28: 1465 bars
    gold 2020-07-28 -> 2020-10-26: 1469 bars
    gold 2020-10-26 -> 2021-01-24: 1430 bars
    gold 2021-01-24 -> 2021-04-24: 1468 bars
    gold 2021-04-24 -> 2021-07-23: 1470 bars
    gold 2021-07-23 -> 2021-10-21: 1469 bars
    gold 2021-10-21 -> 2022-01-19: 1438 bars
    gold 2022-01-19 -> 2022-04-19: 1449 bars
    gold 2022-04-19 -> 2022-07-18: 1467 bars
    gold 2022-07-18 -> 2022-10-16: 1488 bars
    gold 2022-10-16 -> 2023-01-14: 1444 bars
    gold 2023-01-14 -> 2023-04-14: 1449 bars
    gold 2023-04-14 -> 2023-07-13: 1467 bars
    gold 2023-07-13 -> 2023-10-11: 1471 bars
    gold 2023-10-11 -> 2024-01-09: 1419 bars
