  MarketWindowDataset: 42329 bars -> 42232 samples (lookback=96, stride=1, history_len=3)
  MarketWindowDataset: 1730 bars -> 409 samples (lookback=96, stride=4, history_len=3)

Building MarketEncoder:
  PatchEmbedding: 96 bars ? 52 features -> 24 patches ? 128 dims (patch_dim=208)
  CLS token: shape (1, 1, 128)
  Positional encoding: 25 positions ? 128 dims
  Transformer: 4 layers ? 4 heads ? 128 dims
  Projection: 128 -> 256 -> 128 (z_dim)

  Total parameters:     889,984
  Trainable parameters: 889,984
  CausalPredictor: 1,424,448 parameters  (6 layers ? 4 heads ? 128 dims  history=3  cond_dim=64)
------------------------------------------------------------
  MarketWindowDataset: 42329 bars -> 42232 samples (lookback=96, stride=1, history_len=3)
  MarketWindowDataset: 1730 bars -> 409 samples (lookback=96, stride=4, history_len=3)

Building MarketEncoder:
  PatchEmbedding: 96 bars ? 52 features -> 24 patches ? 128 dims (patch_dim=208)
  CLS token: shape (1, 1, 128)
  Positional encoding: 25 positions ? 128 dims
  Transformer: 4 layers ? 4 heads ? 128 dims
  Projection: 128 -> 256 -> 128 (z_dim)

  Total parameters:     889,984
  Trainable parameters: 889,984
  CausalPredictor: 1,424,448 parameters  (6 layers ? 4 heads ? 128 dims  history=3  cond_dim=64)
------------------------------------------------------------
  Epoch  13/60  train=0.0083  val=0.0084  lr=2.82e-04 *
  Epoch  14/60  train=0.0079  val=0.0080  lr=2.78e-04 *
  Epoch  15/60  train=0.0077  val=0.0075  lr=2.73e-04 *
  Epoch  16/60  train=0.0077  val=0.0076  lr=2.68e-04
  Epoch  17/60  train=0.0076  val=0.0072  lr=2.63e-04 *
  Epoch  18/60  train=0.0075  val=0.0072  lr=2.58e-04
  Epoch  19/60  train=0.0075  val=0.0075  lr=2.52e-04
  Epoch  20/60  train=0.0075  val=0.0075  lr=2.45e-04
  Epoch  21/60  train=0.0074  val=0.0071  lr=2.39e-04 *
  Epoch  22/60  train=0.0073  val=0.0067  lr=2.32e-04 *
  Epoch  23/60  train=0.0072  val=0.0068  lr=2.25e-04
  Epoch  24/60  train=0.0072  val=0.0071  lr=2.18e-04
  Epoch  25/60  train=0.0073  val=0.0070  lr=2.10e-04
  Epoch  26/60  train=0.0072  val=0.0070  lr=2.03e-04
  Epoch  27/60  train=0.0071  val=0.0066  lr=1.95e-04 *
  Epoch  28/60  train=0.0071  val=0.0065  lr=1.87e-04 *
  Epoch  29/60  train=0.0070  val=0.0066  lr=1.79e-04
  Epoch  30/60  train=0.0070  val=0.0071  lr=1.71e-04
  Epoch  31/60  train=0.0069  val=0.0068  lr=1.62e-04
  Epoch  32/60  train=0.0069  val=0.0066  lr=1.54e-04
  Epoch  33/60  train=0.0069  val=0.0068  lr=1.46e-04
  Epoch  34/60  train=0.0068  val=0.0065  lr=1.38e-04 *
  Epoch  35/60  train=0.0068  val=0.0067  lr=1.29e-04
  Epoch  36/60  train=0.0067  val=0.0067  lr=1.21e-04
  Epoch  37/60  train=0.0067  val=0.0065  lr=1.13e-04 *
  Epoch  38/60  train=0.0067  val=0.0067  lr=1.05e-04
  Epoch  39/60  train=0.0067  val=0.0065  lr=9.74e-05
  Epoch  40/60  train=0.0066  val=0.0066  lr=8.97e-05
  Epoch  41/60  train=0.0066  val=0.0066  lr=8.23e-05
  Epoch  42/60  train=0.0066  val=0.0063  lr=7.50e-05 *
  Epoch  43/60  train=0.0066  val=0.0067  lr=6.80e-05
  Epoch  44/60  train=0.0066  val=0.0064  lr=6.12e-05
  Epoch  45/60  train=0.0066  val=0.0063  lr=5.46e-05
  Epoch  46/60  train=0.0065  val=0.0065  lr=4.84e-05
  Epoch  47/60  train=0.0065  val=0.0063  lr=4.25e-05 *
  Epoch  48/60  train=0.0065  val=0.0062  lr=3.69e-05 *
  Epoch  49/60  train=0.0065  val=0.0064  lr=3.16e-05
  Epoch  50/60  train=0.0065  val=0.0064  lr=2.67e-05
  Epoch  51/60  train=0.0065  val=0.0066  lr=2.22e-05
  Epoch  52/60  train=0.0064  val=0.0062  lr=1.81e-05 *
  Epoch  53/60  train=0.0064  val=0.0064  lr=1.43e-05
  Epoch  54/60  train=0.0064  val=0.0059  lr=1.10e-05 *
  Epoch  55/60  train=0.0064  val=0.0063  lr=8.13e-06
  Epoch  56/60  train=0.0064  val=0.0064  lr=5.66e-06
  Epoch  57/60  train=0.0064  val=0.0064  lr=3.63e-06
  Epoch  58/60  train=0.0064  val=0.0062  lr=2.05e-06
  Epoch  59/60  train=0.0064  val=0.0060  lr=9.10e-07
  Epoch  60/60  train=0.0064  val=0.0062  lr=2.28e-07
